Participant ID,original_index,income
853,110,12038.65162656142
854,111,16487.70095360657
855,112,17787.28153723176
856,113,14067.23605154637
857,114,15370.17614898593
858,115,9538.413146779782
859,116,31699.92609620373
861,117,17519.99541382792
862,118,42620.93149568796
863,119,49340.51259720222
864,120,14953.30680699604
865,121,21072.46959108052
867,122,20239.79572287502
868,123,40620.38308436451
870,124,17965.36465092294
871,125,74990.17368788984
872,126,7791.419281546911
873,127,34269.95127698446
878,128,56706.1833852721
879,129,69276.44345695533
880,130,17641.93047659436
881,131,15013.38457586768
882,132,13878.9258427941
884,133,27586.40633078374
885,134,22001.44028152521
886,135,25365.99004574102
887,136,18496.18718451266
888,137,21122.00384582541
889,138,22812.66522064018
890,139,24202.83929141903
892,140,32556.43408039409
893,141,17355.40312710502
894,142,20121.12914398
895,143,51659.75664331248
896,144,18602.1910167619
897,145,23390.27705167101
898,146,7994.762019279621
899,147,31302.44472043479
900,148,5830.252130011073
902,149,19238.07156265252
903,150,35836.48364191014
904,151,10826.51338346669
906,152,56897.04650192906
908,153,32581.54032912715
909,154,20262.87165549698
910,155,39658.49262413632
911,156,39719.02561647219
912,157,19652.38777867498
913,158,10008.61925986314
914,159,62536.24121446164
915,160,9529.630560395817
918,161,7604.820941960379
919,162,8868.1009089658
920,163,41115.05131726544
921,164,27874.46302850298
922,165,46689.7655064996
924,166,11224.23063650436
925,167,20102.04657836993
926,168,37458.38871056467
927,169,29270.60818228559
928,170,34055.3067122895
929,171,37886.75850934483
930,172,8321.494161648827
932,173,47586.99373886614
933,174,22007.47364750288
934,175,8582.66099479814
935,176,20920.66851648225
936,177,17692.90113766631
938,178,8824.367498132082
939,179,35257.01783194618
942,180,8318.106165075395
944,181,44790.91933879941
946,182,14470.72220171985
947,183,12410.11121525865
948,184,30341.54027606907
949,185,24371.61370820322
950,186,29343.84308782858
953,187,16983.47879586044
954,188,18616.1087896608
955,189,19048.42250347156
956,190,11740.04045133462
957,191,9943.022055019956
958,192,8597.666096370747
959,193,25489.9139692844
960,194,23070.5444414025
961,195,11328.31821475958
962,196,15973.14670405565
963,197,19056.24855829512
964,198,9376.189413908394
965,199,22469.31736757086
966,200,38712.42348431431
968,201,25878.9878650663
969,202,58026.47626636561
971,203,44059.61046456487
973,204,61116.58708328745
975,205,17280.7735838734
976,206,26796.7213377624
977,207,42138.35344844044
979,208,32302.613660618
980,209,14596.399374652
981,210,14958.91307405903
982,211,39894.4764052661
985,212,45553.73705934226
986,213,24365.81360980301
987,214,23028.79515302139
988,215,26100.82307283513
989,216,47745.61365089149
990,217,26916.97742576712
991,218,31220.16762037151
992,219,20941.17765147342
994,220,43880.82325535709
997,221,14978.55718714643
998,222,34200.84149544248
1001,223,44012.80577696195
1002,224,19120.5930985094
1003,225,55311.28313274615
1004,226,12480.48675088641
1005,227,12142.83104374897
1006,228,13547.49289309041
1007,229,13326.10070589136
1008,230,28461.16988017676
1009,231,46343.13310237099
1010,232,30510.88686312684
1011,233,50516.84124207294
1012,234,56657.1416303155
1014,235,40979.17353353399
1016,236,56503.03156385789
1018,237,58815.89769556555
1019,238,22327.07512333917
1021,239,61092.56565573763
1022,240,127080.6934266908
1023,241,29884.18201680549
1024,242,14644.49685812157
1025,243,28383.51488558434
1026,244,15771.79897677543
1027,245,13269.01519170704
1030,246,35927.88756324744
1033,247,8221.622067131899
1034,248,47901.7969180521
1036,249,37105.49234763465
1037,250,18608.75927917933
1038,251,16525.52399410071
1040,252,12466.29484247098
1041,253,42496.94582792606
1043,254,30122.67088382853
1045,255,27398.85641479735
1046,256,16451.17939125597
1047,257,13103.3504419102
1048,258,8468.0123098675
1049,259,9243.346685297947
1050,260,14085.25639566434
1051,261,16065.52531772621
1052,262,18828.30054575469
1053,263,51028.5024991156
1054,264,34173.13478658507
1055,265,22805.3578440192
1056,266,10914.1843244181
1057,267,38294.31022940984
1058,268,24062.34955059433
1059,269,56652.72731632125
1060,270,21274.14289884325
1061,271,18233.86801502286
1062,272,15685.53943199264
1063,273,73844.07475090938
1064,274,24568.04933913797
1065,275,18198.72046636823
1067,276,50716.23823344134
1068,277,48361.86144724767
1069,278,18724.2101077865
1073,279,19587.6010983704
