participantid,extraversionbig5,agreeable,neuroticismbig5,conscientiousnessbig5,opennessbig5,education,assignedallowancelevel,income,stdactions,z_stdactionsP,Flexibility_calculated_ivw,z_Flexibility_calculated_ivw,anchored_flexibility,z_anchored_flexibility,min_Flexibility_combined,max_Flexibility_combined,Flexibility_combined15,choice1_flex_deterministic,choice2_flex_deterministic,choice3_flex_deterministic,choice4_flex_deterministic,choice5_flex_deterministic
745,1.7,3.783333333,3.1,2.6,4.4,1,4,36906.07987,0.5345224738,-0.9652455449,-0.1269883066,-1.160280943,-1.111522079,-1.389753222,-2.97091794,3.623504877,2,1,5,,,
746,3.9,3.183333333,2.4,3.7,3.8,2,4,30212.52923,2.121320248,1.384576321,-0.02179478854,-0.1991370618,0.1967912912,0.2460511923,-2.97091794,3.623504877,3,3,1,5,,
747,3.7,3.9,3,3.1,4.4,2,1,9586.221617,0.7440237999,-0.6550039053,-0.004300134722,-0.03928995132,-0.1932184398,-0.241584003,-2.97091794,3.623504877,3,3,1,5,,
748,3.2,2.933333333,3.7,3.4,4.6,2,3,22299.81797,0.7559289336,-0.6373741031,-0.1443961412,-1.319334745,-1.1488446,-1.436418176,-2.97091794,3.623504877,2,1,5,,,
750,3.4,3.616666667,3.4,3,3.4,2,4,28555.98328,0.3535533845,-1.233235002,-0.1414926946,-1.292806268,-1.277913451,-1.59779489,-2.97091794,3.623504877,2,1,5,,,
751,3.6,3.616666667,3.3,3.8,3.7,2,5,50796.79371,0,-1.756797314,-0.04221964628,-0.3857571781,-0.7285172343,-0.9108763337,-2.97091794,3.623504877,2,1,5,,,
753,3,3.683333333,2.4,3.7,3.3,2,2,16076.97212,0.9161253572,-0.4001459479,-0.01920345426,-0.1754602641,-0.2316316813,-0.2896126807,-2.97091794,3.623504877,3,3,1,5,,
754,1.6,4.466666667,4,2.7,4.9,2,1,10818.492,2.2320714,1.548583031,-0.07763385773,-0.7093337178,-0.1448545307,-0.1811138541,-2.97091794,3.623504877,3,3,1,5,,
755,3.1,3.183333333,2.3,3.9,4.4,2,5,54824.07453,1.388730168,0.2997145951,0.01383471303,0.1264065504,0.1697335541,0.2122204751,-2.97091794,3.623504877,3,3,1,5,,
759,4.4,4.233333333,1,4.9,4.6,2,5,44799.08676,2.251983166,1.578069568,0.3653393686,3.338073492,2.898072481,3.623504877,-2.97091794,3.623504877,5,2,4,3,1,5
760,3.9,4.05,2.9,4.5,4,2,2,16477.15592,1.581138849,0.5846444964,0.1233711243,1.127231121,0.9915844798,1.23979342,-2.97091794,3.623504877,4,4,3,1,5,
762,5,3.816666667,2.6,4.9,4,2,2,18788.37342,0.8864052892,-0.4441571534,0.1846354455,1.686997771,1.154209018,1.443125367,-2.97091794,3.623504877,4,4,3,1,5,
763,3.7,3.316666667,2.3,3.8,3.7,2,5,48675.80239,1.407885909,0.3280815184,-0.002198430244,-0.02008686215,0.06695523113,0.08371515572,-2.97091794,3.623504877,3,3,1,5,,
764,3.8,3.433333333,2.8,4,3.5,2,3,27483.31599,0.7559289336,-0.6373741031,-0.01607641764,-0.1468888074,-0.2695101202,-0.3369726539,-2.97091794,3.623504877,2,1,5,,,
765,4.5,3.95,2.2,4.5,4.5,1,1,12899.51623,0.3535533845,-1.233235002,0.2088110745,1.907888412,1.122607589,1.403613567,-2.97091794,3.623504877,4,4,3,1,5,
766,4.3,3.433333333,1.5,4,4.5,2,4,37777.56148,0.4629100561,-1.071293354,0.1502302885,1.372640848,0.7616572976,0.9523118734,-2.97091794,3.623504877,3,3,1,5,,
767,4,3.15,3.7,3.9,4.1,2,4,33433.06746,1.035098314,-0.2239639014,-0.08165945113,-0.7461152077,-0.6155773997,-0.7696659565,-2.97091794,3.623504877,2,1,5,,,
768,3.1,3.583333333,2,4.4,4.3,2,3,24178.94699,1.407885909,0.3280815184,0.1191069856,1.088270068,0.8982229233,1.123062015,-2.97091794,3.623504877,4,4,3,1,5,
769,3.6,3.833333333,3.4,3.6,4.4,2,3,24118.23662,1.414213538,0.3374518454,-0.0007959890645,-0.007272880524,0.07890830189,0.09866026789,-2.97091794,3.623504877,3,3,1,5,,
770,3.8,3.183333333,3.8,3.7,4.9,2,4,29142.92907,1.164964795,-0.03165011108,-0.06164231896,-0.5632204413,-0.4303278625,-0.5380455852,-2.97091794,3.623504877,2,1,5,,,
771,4.2,4.116666667,2.4,4.1,3.6,2,5,61680.21565,0.7071067691,-0.709672749,0.1183410659,1.081271887,0.6335357428,0.792119503,-2.97091794,3.623504877,3,3,1,5,,
772,3.9,3.766666667,2.4,4,4.3,2,3,25000.94825,1.922609806,1.090314388,0.1008318886,0.9212920666,0.963547647,1.204738498,-2.97091794,3.623504877,4,4,3,1,5,
773,4.2,3.316666667,2.2,3.8,4,2,2,17602.9522,1.603567481,0.6178581119,0.03714251146,0.3393678367,0.408990413,0.511367023,-2.97091794,3.623504877,3,3,1,5,,
775,3.1,3.9,3.5,3.3,4.1,2,2,19263.57161,1.195228577,0.01316624507,-0.05817617103,-0.5315505266,-0.3953713477,-0.4943388999,-2.97091794,3.623504877,2,1,5,,,
776,3.9,3.433333333,2.4,3.3,3.4,1,4,37260.97209,1.457737923,0.4019052684,-0.05032810196,-0.4598434269,-0.2444062531,-0.3055849075,-2.97091794,3.623504877,3,3,1,5,,
777,4.1,3.533333333,2.3,3.5,4.1,2,3,25152.09127,2.138089895,1.409409761,0.0322034657,0.2942402363,0.5730326176,0.7164715528,-2.97091794,3.623504877,3,3,1,5,,
778,3.1,3.516666667,2.3,2.8,4.4,1,5,48539.63663,1.767766953,0.8610141873,-0.04197454825,-0.3835177422,-0.07238475978,-0.09050378203,-2.97091794,3.623504877,3,3,1,5,,
779,4.3,2.633333333,2.4,4.3,4.5,2,2,16997.83941,0.8345229626,-0.5209875107,0.01825103909,0.166758135,-0.005178276449,-0.006474480964,-2.97091794,3.623504877,3,3,1,5,,
780,4,3.766666667,2.6,3.3,4.6,2,5,96573.49809,0.8345229626,-0.5209875107,0.04662071541,0.4259693623,0.189230144,0.2365973741,-2.97091794,3.623504877,3,3,1,5,,
781,4.3,3.866666667,3.1,4.5,4.9,2,2,15522.03253,0.7440237999,-0.6550039053,0.1516824067,1.385908723,0.8756805658,1.094876885,-2.97091794,3.623504877,4,4,3,1,5,
784,4,3.666666667,2.7,3.9,4.3,2,5,64229.43722,5.126959324,5.835500717,0.06196998432,0.5662142634,1.883535862,2.355014086,-2.97091794,3.623504877,5,2,4,3,1,5
786,3.8,2.833333333,1.8,3.7,3.5,2,1,13922.81158,0,-1.756797314,-0.03967195377,-0.3624791503,-0.7110586762,-0.8890476227,-2.97091794,3.623504877,2,1,5,,,
787,3.5,3.833333333,2.9,2.8,3.9,2,4,36052.73741,1.457737923,0.4019052684,-0.0655560568,-0.5989798903,-0.3487586081,-0.4360582829,-2.97091794,3.623504877,2,1,5,,,
789,4.2,3.483333333,2.6,3.6,4.3,1,4,28365.28714,0.9161253572,-0.4001459479,0.02795448527,0.2554176748,0.0915267691,0.1144373342,-2.97091794,3.623504877,3,3,1,5,,
791,3.1,3.75,2.5,3.7,4.3,2,2,20238.30956,1.281739831,0.1412771195,0.04233061895,0.3867711425,0.3253976405,0.4068496823,-2.97091794,3.623504877,3,3,1,5,,
792,1.6,3.566666667,2,2.1,4.1,2,3,21966.28102,1.388730168,0.2997145951,-0.1363705993,-1.246006131,-0.8595759273,-1.074741006,-2.97091794,3.623504877,2,1,5,,,
793,3.9,3.45,2.7,4.8,4.7,2,3,23112.67631,2.669269562,2.196011305,0.1344151944,1.228139758,1.470107675,1.838098288,-2.97091794,3.623504877,4,4,3,1,5,
795,5,2.5,4.1,2.6,4.8,2,2,18913.97064,1.690308452,0.7463091612,-0.2276757807,-2.080253601,-1.373612881,-1.717449427,-2.97091794,3.623504877,1,5,,,,
797,3,3.783333333,3.3,3.9,4.9,2,4,38111.56779,1.832250714,0.9565054774,0.03770840541,0.3445383608,0.4975301325,0.6220695972,-2.97091794,3.623504877,3,3,1,5,,
799,2.9,4.166666667,2.5,4.2,3.5,1,4,33599.42912,0.9258201122,-0.3857893944,0.08143831044,0.7440946698,0.4616236687,0.5771752,-2.97091794,3.623504877,3,3,1,5,,
800,2.4,3.866666667,3.2,3.1,4.2,2,5,56410.91629,1.125991583,-0.08936390281,-0.07248676568,-0.6623051763,-0.5190698504,-0.6490010619,-2.97091794,3.623504877,2,1,5,,,
801,2.6,4.066666667,3.5,3.8,4.4,2,5,65825.68334,1.505940676,0.4732866883,0.00685799215,0.06266087294,0.1653173268,0.2066988051,-2.97091794,3.623504877,3,3,1,5,,
802,3.2,3.65,2.8,3.2,4.2,2,5,71323.67475,1.457737923,0.4019052684,-0.03672133014,-0.3355195522,-0.1511633396,-0.1890018582,-2.97091794,3.623504877,3,3,1,5,,
803,4.1,3.65,2,3.5,4.1,2,5,79910.17061,1.597989798,0.6095983386,0.06735362113,0.6154040694,0.6139526367,0.7676344514,-2.97091794,3.623504877,3,3,1,5,,
805,2.8,3.066666667,2.9,3.8,3.3,2,5,47788.3963,1.069044948,-0.1736937761,-0.1241742224,-1.13456893,-0.8943501711,-1.118219852,-2.97091794,3.623504877,2,1,5,,,
806,4.2,3.15,2.1,3.3,4.3,2,2,15993.59248,1.060660124,-0.1861104965,-0.000613864162,-0.005608821753,-0.05073424056,-0.06343380362,-2.97091794,3.623504877,3,3,1,5,,
807,3,3.366666667,2.9,3.4,3.9,2,3,25745.17615,1.164964795,-0.03165011108,-0.08296862245,-0.7580769658,-0.5764702559,-0.7207696438,-2.97091794,3.623504877,2,1,5,,,
808,4.1,3.316666667,2.3,3.4,3.5,2,1,13492.43662,1.505940676,0.4732866883,-0.03640259802,-0.3326073289,-0.1311338246,-0.1639586538,-2.97091794,3.623504877,3,3,1,5,,
809,4.1,3.466666667,2.2,2.8,3.4,2,2,17060.12257,1.772810578,0.8684830666,-0.06915112585,-0.6318277121,-0.2567500174,-0.321018517,-2.97091794,3.623504877,3,3,1,5,,
810,1.8,3.016666667,2,3.2,3.4,2,5,62716.25952,0.7071067691,-0.709672749,-0.1404792815,-1.283546805,-1.140078306,-1.425457478,-2.97091794,3.623504877,2,1,5,,,
811,4.3,2.666666667,2.9,4,4.6,2,2,15041.19009,1,-0.2759395242,-0.03383719549,-0.3091674745,-0.3008604944,-0.376170516,-2.97091794,3.623504877,2,1,5,,,
812,3.6,3.716666667,2.3,3.8,4,2,3,23226.81346,1.959409475,1.144809484,0.05876942351,0.5369710326,0.6889306307,0.8613805771,-2.97091794,3.623504877,3,3,1,5,,
813,3.7,3.25,3,3.6,4.1,1,5,55437.56933,1.164964795,-0.03165011108,-0.05429767072,-0.4961130321,-0.379997313,-0.4751165211,-2.97091794,3.623504877,2,1,5,,,
814,3,3.15,3.2,3.5,3.4,1,3,23514.97477,0.6408699155,-0.8077601194,-0.1501640826,-1.37203598,-1.230967045,-1.539097071,-2.97091794,3.623504877,2,1,5,,,
815,4.3,3.666666667,2.2,4.1,4.5,2,1,6626.876605,0.9910312295,-0.2892209888,0.1355880797,1.238856316,0.8568369746,1.071316481,-2.97091794,3.623504877,4,4,3,1,5,
816,4.4,3.316666667,4.1,2.9,4.6,1,3,22306.81891,1.807721496,0.9201812148,-0.1362260878,-1.244685769,-0.703469038,-0.8795582056,-2.97091794,3.623504877,2,1,5,,,
817,3.4,4.05,2.6,4,4.8,2,1,4510.887371,1.457737923,0.4019052684,0.1336621493,1.221259236,1.016420722,1.270846486,-2.97091794,3.623504877,4,4,3,1,5,
818,4,3.366666667,2.3,3.9,4.9,2,1,10517.82644,0.9258201122,-0.3857893944,0.0906907022,0.8286329508,0.5250273943,0.6564498544,-2.97091794,3.623504877,3,3,1,5,,
819,4.1,3.466666667,2.7,2.8,4,2,2,18209.30472,1.407885909,0.3280815184,-0.07030905038,-0.6424075961,-0.39978531,-0.4998577535,-2.97091794,3.623504877,2,1,5,,,
821,3.4,3.633333333,2.3,3.8,4.5,1,2,19791.02811,0,-1.756797314,0.07220182568,0.659701705,0.05557695031,0.06948871911,-2.97091794,3.623504877,3,3,1,5,,
824,3.9,3.9,1.3,5,4.3,1,5,46519.96036,0.5175491571,-0.9903806448,0.2814497352,2.571581364,1.681090832,2.101893902,-2.97091794,3.623504877,4,4,3,1,5,
828,4.4,3.666666667,3,4,4.3,1,4,32799.88267,0.7440237999,-0.6550039053,0.06076974049,0.5552477837,0.2526848614,0.3159357905,-2.97091794,3.623504877,3,3,1,5,,
829,3.2,3.233333333,3.5,3.7,4.1,1,2,16925.21319,1.302470207,0.1719758511,-0.09835156798,-0.8986296058,-0.6309782267,-0.788921833,-2.97091794,3.623504877,2,1,5,,,
830,3.7,3.916666667,3.3,3.7,4.3,1,4,33238.04805,1.281739831,0.1412771195,0.0218288973,0.1994487047,0.1849058121,0.2311905921,-2.97091794,3.623504877,3,3,1,5,,
831,2.5,2.85,2.4,2.8,3.9,1,1,9927.465374,0.5175491571,-0.9903806448,-0.173378557,-1.584144592,-1.435703635,-1.79508245,-2.97091794,3.623504877,1,5,,,,
832,3.1,3.916666667,3.6,2.7,4,1,4,32209.32045,0.7071067691,-0.709672749,-0.1208172664,-1.103896737,-1.005340695,-1.256993055,-2.97091794,3.623504877,2,1,5,,,
833,3.3,2.7,3.1,2.8,3.1,1,2,15236.88304,0,-1.756797314,-0.2640324533,-2.412441254,-2.248530388,-2.81137228,-2.97091794,3.623504877,1,5,,,,
834,2.7,2.783333333,2.3,3.4,4.1,1,1,10605.64072,1.388730168,0.2997145951,-0.1048530564,-0.9580331445,-0.6435962319,-0.8046982884,-2.97091794,3.623504877,2,1,5,,,
835,3.6,3.566666667,3.5,3.4,4,1,2,16995.70401,0,-1.756797314,-0.07940109819,-0.7254807949,-0.9833099246,-1.229447603,-2.97091794,3.623504877,2,1,5,,,
836,3.8,4.216666667,2.2,4.6,4.3,1,3,26786.30189,1.125991583,-0.08936390281,0.2161746472,1.975168705,1.459035516,1.824254632,-2.97091794,3.623504877,4,4,3,1,5,
837,3.9,3.566666667,1.8,3.5,4.2,1,3,20470.66035,1.832250714,0.9565054774,0.07196420431,0.6575306058,0.7322742939,0.9155738354,-2.97091794,3.623504877,3,3,1,5,,
838,1.4,3.516666667,4.3,3.5,4.3,1,4,41413.02959,0.3535533845,-1.233235002,-0.1816103458,-1.659357667,-1.552827001,-1.941523552,-2.97091794,3.623504877,1,5,,,,
839,3.3,2.983333333,3.1,3.7,2.8,1,2,15691.6946,1.281739831,0.1412771195,-0.1711296439,-1.563596487,-1.137378097,-1.422081351,-2.97091794,3.623504877,2,1,5,,,
840,3.7,3.3,2.4,3.9,3.8,1,4,38844.91993,0.7071067691,-0.709672749,0.003068351187,0.02803525515,-0.1563917398,-0.1955390126,-2.97091794,3.623504877,3,3,1,5,,
841,2,3.533333333,3.8,2.1,4,1,5,42227.75586,0,-1.756797314,-0.2637760937,-2.410098791,-2.246773481,-2.809175491,-2.97091794,3.623504877,1,5,,,,
842,3.1,3.4,2.2,3.9,3.8,1,3,22996.59614,0.9161253572,-0.4001459479,0.01140194107,0.104178533,-0.02190258726,-0.02738514543,-2.97091794,3.623504877,3,3,1,5,,
843,2.8,3.75,2,2.9,4.2,1,4,32819.02561,1.552647471,0.5424528122,-0.005111470819,-0.0467030555,0.1005859077,0.1257641166,-2.97091794,3.623504877,3,3,1,5,,
844,3.5,3.65,2.6,3.6,4.8,1,4,31053.66919,0.7071067691,-0.709672749,0.05571671948,0.5090787411,0.2043908685,0.2555530667,-2.97091794,3.623504877,3,3,1,5,,
845,3.4,3,3,3,3,1,4,36861.79492,1.457737923,0.4019052684,-0.2076202184,-1.897007585,-1.322279334,-1.653266311,-2.97091794,3.623504877,1,5,,,,
846,2.3,4.216666667,2.2,3.8,4.8,1,3,23412.34105,1.125991583,-0.08936390281,0.1322076321,1.207969427,0.883636117,1.104823828,-2.97091794,3.623504877,4,4,3,1,5,
847,4,3.65,2.5,4.3,4.7,1,4,32587.03973,1.851640224,0.9852185845,0.1320223063,1.206276178,1.151011825,1.439127803,-2.97091794,3.623504877,4,4,3,1,5,
848,4,3.116666667,2.8,4.1,3.6,2,1,12296.03071,0.9258201122,-0.3857893944,-0.03259911016,-0.2978551984,-0.3198387623,-0.3998993337,-2.97091794,3.623504877,2,1,5,,,
849,3.9,2.866666667,3,3.4,4,1,2,19273.0578,0.8864052892,-0.4441571534,-0.1159677655,-1.05958724,-0.9057297111,-1.132447839,-2.97091794,3.623504877,2,1,5,,,
850,2.5,4.133333333,2.6,3.4,4.5,1,5,99366.4055,1.982062459,1.178355336,0.04783584177,0.4370718598,0.622392714,0.7781872153,-2.97091794,3.623504877,3,3,1,5,,
851,4.1,3.116666667,1.2,3.9,4.6,1,4,38061.73819,1.187734962,0.002069266513,0.1263111085,1.154093504,0.8660874367,1.082882524,-2.97091794,3.623504877,4,4,3,1,5,
852,4.5,3.2,1.6,4.6,4.5,1,2,17228.19548,0.7559289336,-0.6373741031,0.1733814925,1.584171414,1.02878499,1.286305785,-2.97091794,3.623504877,4,4,3,1,5,
853,2.9,3.55,2,3.9,4.1,1,1,12038.65163,0,-1.756797314,0.05474710837,0.5002195239,-0.06403468549,-0.08006355911,-2.97091794,3.623504877,3,3,1,5,,
854,3.5,4.05,2.4,3.7,3.9,1,2,16487.70095,1.511857867,0.4820492268,0.07298178226,0.6668280959,0.6206333637,0.7759875059,-2.97091794,3.623504877,3,3,1,5,,
855,4.3,3.166666667,1.7,4.9,3.4,1,2,17787.28154,1.92724824,1.097183347,0.1183720753,1.081555247,1.085462332,1.357170343,-2.97091794,3.623504877,4,4,3,1,5,
856,4.2,3.666666667,2,4.1,4.7,1,1,14067.23605,0.7071067691,-0.709672749,0.1586377174,1.449458838,0.9096759558,1.137381911,-2.97091794,3.623504877,4,4,3,1,5,
857,4.8,4,3.7,3.5,4.2,1,2,15370.17615,0.7559289336,-0.6373741031,0.01215945464,0.1110998616,-0.07601863146,-0.09504727274,-2.97091794,3.623504877,3,3,1,5,,
858,3.5,3.616666667,2.7,3.4,2.9,1,1,9538.413147,0.7071067691,-0.709672749,-0.08280681819,-0.7565985918,-0.744867146,-0.9313188791,-2.97091794,3.623504877,2,1,5,,,
859,4.2,4.016666667,2,3.4,4.4,1,4,31699.9261,1.060660124,-0.1861104965,0.1217437685,1.112362027,0.787743926,0.9849283695,-2.97091794,3.623504877,3,3,1,5,,
861,4.1,3.566666667,2.5,3.9,4.1,1,2,17519.99541,1.685018063,0.7384748459,0.05607521534,0.5123543143,0.5688844323,0.7112849951,-2.97091794,3.623504877,3,3,1,5,,
862,3.9,3.366666667,2.6,3.7,4.3,1,5,42620.9315,0.3535533845,-1.233235002,0.01414528955,0.1292442679,-0.2113755494,-0.2642861307,-2.97091794,3.623504877,3,3,1,5,,
863,3.2,3.333333333,3.2,3.6,4.2,1,5,49340.5126,1.035098314,-0.2239639014,-0.06793276221,-0.6206956506,-0.5215126872,-0.6520553827,-2.97091794,3.623504877,2,1,5,,,
864,2.6,2.966666667,2.2,3.7,3.6,1,2,14953.30681,1.752549171,0.8384788036,-0.08251523972,-0.753934443,-0.3558311462,-0.4449011683,-2.97091794,3.623504877,2,1,5,,,
865,4,3.683333333,2.9,3.7,3.4,1,3,21072.46959,1.603567481,0.6178581119,-0.01990446635,-0.1818653494,0.01806551591,0.02258759178,-2.97091794,3.623504877,3,3,1,5,,
867,4,3.883333333,2,3.3,4.2,1,2,20239.79572,0.9258201122,-0.3857893944,0.08014437556,0.7322720885,0.4527567029,0.5660886765,-2.97091794,3.623504877,3,3,1,5,,
868,4.1,4.333333333,2,4.8,4.6,1,4,40620.38308,1.669045925,0.7148223519,0.2875740528,2.627538681,2.149359703,2.687377691,-2.97091794,3.623504877,5,2,4,3,1,5
870,3.1,3.583333333,2.8,3.4,3.9,1,2,17965.36465,0.3535533845,-1.233235002,-0.04763543233,-0.4352407455,-0.6347392797,-0.7936243415,-2.97091794,3.623504877,2,1,5,,,
871,3.7,3.283333333,3,3.7,4.4,1,5,74990.17369,1.807721496,0.9201812148,-0.0244161021,-0.2230877727,0.06272947788,0.0784316361,-2.97091794,3.623504877,3,3,1,5,,
872,4.1,2.983333333,1.9,3.3,4.3,1,1,7791.419282,0.7440237999,-0.6550039053,-0.008547853678,-0.07810098678,-0.2223267108,-0.2779785097,-2.97091794,3.623504877,3,3,1,5,,
873,2.7,3.816666667,3.3,2.5,4.1,1,4,34269.95128,1.597989798,0.6095983386,-0.1340370774,-1.224684954,-0.7661141157,-0.9578843117,-2.97091794,3.623504877,2,1,5,,,
878,3.9,2.95,2.4,4.4,4,1,5,56706.18339,1.685018063,0.7384748459,0.02286022343,0.2088718414,0.3412725925,0.4266983867,-2.97091794,3.623504877,3,3,1,5,,
879,2.8,4.183333333,2.4,3.3,3.7,2,5,69276.44346,0.3535533845,-1.233235002,0.02185977809,0.1997308582,-0.1585106105,-0.1981882602,-2.97091794,3.623504877,3,3,1,5,,
880,2.2,4.016666667,1.8,3.3,4.1,1,2,17641.93048,1.069044948,-0.1736937761,0.05118332058,0.4676574767,0.3073196709,0.3842465281,-2.97091794,3.623504877,3,3,1,5,,
881,2.6,3.483333333,2.7,3.8,4.1,1,2,15013.38458,1.505940676,0.4732866883,-0.02080962621,-0.1901357174,-0.02428011596,-0.03035780601,-2.97091794,3.623504877,3,3,1,5,,
882,1.6,3.85,4.4,2.6,3.7,1,1,13878.92584,1.457737923,0.4019052684,-0.2563456893,-2.342207909,-1.656179667,-2.070746899,-2.97091794,3.623504877,1,5,,,,
884,2.5,4.05,3.3,3.5,3.9,1,3,27586.40633,1.125991583,-0.08936390281,-0.03844213486,-0.3512423933,-0.2857727706,-0.3573061228,-2.97091794,3.623504877,2,1,5,,,
885,3.3,3.716666667,2.7,3.8,4,1,3,22001.44028,2.815771818,2.412960291,0.02114636265,0.1932124496,0.748149395,0.9354227185,-2.97091794,3.623504877,3,3,1,5,,
886,2.6,3.633333333,3.6,3.9,4.2,1,3,25365.99005,1.195228577,0.01316624507,-0.05372807011,-0.4909086227,-0.3648899198,-0.4562275112,-2.97091794,3.623504877,2,1,5,,,
887,2.4,4.116666667,3.3,4,3.6,1,2,18496.18718,1.035098314,-0.2239639014,-0.008064123802,-0.07368118316,-0.1112518609,-0.1390999258,-2.97091794,3.623504877,3,3,1,5,,
888,3.5,3.65,3.1,4.4,4.6,1,3,21122.00385,1.92724824,1.097183347,0.07690770179,0.7026988864,0.8013200164,1.001902819,-2.97091794,3.623504877,4,4,3,1,5,
889,3,4.016666667,4.3,3.5,4.5,1,3,22812.66522,2.507132769,1.955909848,-0.06471592188,-0.5913036466,0.04549972713,0.05688900873,-2.97091794,3.623504877,3,3,1,5,,
