participantid,extraversionbig5,agreeable,neuroticismbig5,conscientiousnessbig5,opennessbig5,income,education,totalallowance,assignedallowancelevel,stdactions,z_extraversionbig5,z_agreeable,z_neuroticismbig5,z_conscientiousnessbig5,z_opennessbig5,z_net_income,z_stdactions,reducation,weighted_ttp,min_weighted_ttp,max_weighted_ttp,weighted_ttp06,choice_length_deterministic,bs_weighted_loyalty,weighted_loyalty,min_weighted_loyalty,max_weighted_loyalty,weighted_loyalty15,choice1_loyalty_deterministic,choice2_loyalty_deterministic,choice3_loyalty_deterministic,choice4_loyalty_deterministic,choice5_loyalty_deterministic,WTP_calculated,z_WTP_calculated,min_WTP_calculated,max_WTP_calculated,WTP_calculated15,choice1_WTP_deterministic,choice2_WTP_deterministic,choice3_WTP_deterministic,choice4_WTP_deterministic,choice5_WTP_deterministic,WTP_noincome,weighted_WTP_categorical,z_WTP_categorical,RT_calculated_hs,z_RT_calculated_hs,min_RT_calculated,max_RT_calculated,RT_calculated15,choice1_RT_deterministic,choice2_RT_deterministic,choice3_RT_deterministic,choice4_RT_deterministic,choice5_RT_deterministic,RT_noincome_hs,weighted_RT_categorical,z_RT_categorical,Flexibility_calculated_ivw,z_Flexibility_calculated_ivw,anchored_flexibility,z_anchored_flexibility,min_Flexibility_combined,max_Flexibility_combined,Flexibility_combined15,choice1_flex_deterministic,choice2_flex_deterministic,choice3_flex_deterministic,choice4_flex_deterministic,choice5_flex_deterministic,sWTP_calculated,min_sWTP_calculated,max_sWTP_calculated,sWTP_calculated15,choice1_WTP_calculated_stoc,choice2_WTP_calculated_stoc,choice3_WTP_calculated_stoc,choice4_WTP_calculated_stoc,choice5_WTP_calculated_stoc
727,4.1,3.716666667,3.8,3.6,4.3,24229.26164,2,72,3,1.281739831,0.7756460309,0.4570276141,1.605134964,-0.1021042541,0.4721246362,-0.2318077087,0.1412771195,1,0.0565097481,-0.07178839296,0.1379993707,3.669308424,3,0.01168782637,0.3258903623,3.400620699,-3.031393766,3,4,5,2,,,-0.1062644646,-0.1526135504,-1.397873402,5.470183372,1,3,2,1,4,5,0.05553731695,-0.1305340827,-0.1881064922,-0.02488397993,-0.3809901476,-2.646594286,3.333152533,2,2,1,3,5,,-0.02329048887,-0.02506568842,-0.3838021159,-0.03892476857,-0.3377316594,-0.217979461,-0.2728545368,-2.965258121,3.648804188,3,3,1,5,,,0.3895403147,-1.859476447,3.782505274,2,2,1,4,5,
729,3.8,3.333333333,2.5,3.5,3.6,12974.27414,2,12,1,1.72688818,0.3464348018,-0.5699290633,-0.2955453396,-0.2807866931,-0.9090160728,-0.8672661185,0.800478518,1,0.005969840102,-0.07178839296,0.1379993707,2.223874331,2,-0.03099901415,-0.8643420339,3.400620699,-3.031393766,2,1,4,5,2,,-0.5710068941,-0.8200614452,-1.397873402,5.470183372,1,3,2,1,4,5,0.03434483707,-0.7056028247,-1.075953484,0.02165867575,0.3316086233,-2.646594286,3.333152533,3,1,3,5,,,0.02762043476,0.02078973502,0.3183305264,-0.04518191889,-0.3920219839,-0.09389685839,-0.1175348461,-2.965258121,3.648804188,3,3,1,5,,,0.03211238608,-1.859476447,3.782505274,2,2,1,4,5,
730,2.8,3.783333333,2.9,3.2,4.3,21266.55266,2,72,3,0,-1.084269404,0.6356287599,0.2892793417,-0.8168340325,0.4721246362,-0.3990827501,-1.756797314,1,0.05583597347,-0.07178839296,0.1379993707,3.650038719,3,0.0354911238,0.989594996,3.400620699,-3.031393766,4,5,2,,,,-0.3719021976,-0.5341138244,-1.397873402,5.470183372,1,3,2,1,4,5,-0.09334243089,-0.2794138193,-0.4179614782,-0.02082113735,-0.3187853396,-2.646594286,3.333152533,2,2,1,3,5,,-0.0180777628,-0.01985296421,-0.3039855063,-0.03206710517,-0.2782309949,-0.6478725672,-0.8109707236,-2.965258121,3.648804188,2,4,3,1,5,,-0.5352481604,-1.859476447,3.782505274,2,2,1,4,5,
732,3.1,3.5,2.8,3.9,2.9,10227.70067,2,12,1,1.772810578,-0.6550581455,-0.1234261543,0.1430731863,0.433943063,-2.290156841,-1.022338152,0.8684830666,1,0.04421546683,-0.07178839296,0.1379993707,3.31769371,3,-0.0224949792,-0.6272249818,3.400620699,-3.031393766,2,1,4,5,2,,-0.7637307644,-1.09684515,-1.397873402,5.470183372,1,3,2,1,4,5,-0.05013876036,-0.7866376638,-1.201062918,-0.09352482855,-1.431926847,-2.646594286,3.333152533,2,2,1,3,5,,-0.08649707586,-0.0933277756,-1.429022789,-0.07354220003,-0.6380906105,-0.2614471912,-0.3272649944,-2.965258121,3.648804188,2,4,3,1,5,,-0.4311350882,-1.859476447,3.782505274,2,2,1,4,5,
733,3.2,3.233333333,4.4,3.6,4.1,10725.49007,2,12,1,0.5175491571,-0.5119876862,-0.8378307819,2.482372046,-0.1021042541,0.07751300186,-0.9942328334,-0.9903806448,1,0.0703368336,-0.07178839296,0.1379993707,4.064761162,4,-0.02002747916,-0.5584239364,3.400620699,-3.031393766,2,1,4,5,2,,-0.7240258455,-1.03982234,-1.397873402,5.470183372,1,3,2,1,4,5,-0.03005131148,-0.7720682025,-1.178569078,-0.04499777406,-0.6889455914,-2.646594286,3.333152533,2,2,1,3,5,,-0.03816321865,-0.04499391839,-0.6889407039,-0.187925756,-1.630542278,-1.4705019,-1.840692163,-2.965258121,3.648804188,1,2,4,3,1,5,-1.159395099,-1.859476447,3.782505274,1,3,2,1,4,5
734,3.9,4.3,2,4.3,4.8,12291.85488,2,12,1,0.5,0.4895052314,2.019787788,-1.026576161,1.148672819,1.458653688,-0.9057956338,-1.016368389,1,0.04835576937,-0.07178839296,0.1379993707,3.436105728,3,0.07364728302,2.053498983,3.400620699,-3.031393766,4,5,2,,,,-0.6185337901,-0.8883180618,-1.397873402,5.470183372,1,3,2,1,4,5,0.01371158659,-0.706233263,-1.076926708,-0.05448067188,-0.8341350555,-2.646594286,3.333152533,2,2,1,3,5,,-0.04825405404,-0.05508475378,-0.8434503675,0.2627344429,2.279621601,1.455624104,1.822069049,-2.965258121,3.648804188,4,1,5,,,,-0.278205961,-1.859476447,3.782505274,2,2,1,4,5,
736,2.4,3.6,2.1,2.9,3.5,12170.42118,2,12,1,1.908627033,-1.656551123,0.1444755793,-0.8803700209,-1.352881312,-1.106321931,-0.9126517773,1.069607973,1,0.02809601836,-0.07178839296,0.1379993707,2.856679916,2,0.008616117761,0.2402422428,3.400620699,-3.031393766,3,4,5,2,,,-0.7694521546,-1.105062127,-1.397873402,5.470183372,1,3,2,1,4,5,-0.1324212402,-0.866850853,-1.324903846,-0.007655328605,-0.1172081307,-2.646594286,3.333152533,3,1,3,5,,,-0.001381580485,-0.00821228046,-0.1257447898,-0.07719823718,-0.6698123217,-0.234957248,-0.2941063643,-2.965258121,3.648804188,3,3,1,5,,,-0.9808444977,-1.859476447,3.782505274,1,3,2,1,4,5
738,3.4,3.883333333,3.6,4.3,4.2,10719.02932,2,12,1,1.246423483,-0.2258468717,0.9035304785,1.312722564,1.148672819,0.2748188078,-0.9945976138,0.08897862583,1,0.08526675403,-0.07178839296,0.1379993707,4.491754532,4,0.03317504749,0.9250161052,3.400620699,-3.031393766,4,5,2,,,,-0.7231754065,-1.038600922,-1.397873402,5.470183372,1,3,2,1,4,5,-0.02894627862,-0.7575129867,-1.156097412,-0.1178592965,-1.80450356,-2.646594286,3.333152533,1,4,2,1,3,5,-0.111022234,-0.1178529412,-1.804549098,0.03253628686,0.282301873,0.2339710593,0.2928719223,-2.965258121,3.648804188,3,3,1,5,,,-1.833276987,-1.859476447,3.782505274,1,3,2,1,4,5
739,3.5,3.85,3.8,3.1,3.7,10551.27689,2,12,1,1.302470207,-0.08277645707,0.8142299056,1.605134964,-0.995516479,-0.7117102742,-1.004068971,0.1719758511,1,0.06789703667,-0.07178839296,0.1379993707,3.994983196,3,0.01818797179,0.5071331859,3.400620699,-3.031393766,3,4,5,2,,,-0.7174028754,-1.030310631,-1.397873402,5.470183372,1,3,2,1,4,5,-0.01656274684,-0.745819211,-1.138043404,-0.06063725054,-0.9283963442,-2.646594286,3.333152533,2,2,1,3,5,,-0.05373508111,-0.06056578457,-0.9273751974,-0.1167276278,-1.012789965,-0.7165985107,-0.8969980478,-2.965258121,3.648804188,2,4,3,1,5,,-1.768625498,-1.859476447,3.782505274,1,3,2,1,4,5
740,2.6,3.45,2.3,3.4,4,23860.13855,2,72,3,2.416461468,-1.370410204,-0.2573770285,-0.5879576802,-0.4594691396,-0.119792819,-0.2526484728,1.821638584,1,0.03037445247,-0.07178839296,0.1379993707,2.921842813,2,0.004195963498,0.1169955805,3.400620699,-3.031393766,3,4,5,2,,,-0.2812514007,-0.4039240777,-1.397873402,5.470183372,1,3,2,1,4,5,-0.1049027741,-0.29097417,-0.4358094633,0.002109449124,0.03229706362,-2.646594286,3.333152533,3,1,3,5,,,0.003846204607,0.002071004594,0.03171160817,-0.0348940976,-0.3027594686,0.2283400446,0.2858233154,-2.965258121,3.648804188,3,3,1,5,,,-0.5581411719,-1.859476447,3.782505274,2,2,1,4,5,
741,3.6,3.666666667,2.1,4.5,4.6,39223.31895,2,128,4,0.3535533845,0.06029396132,0.323076725,-0.8803700209,1.506037712,1.064042091,0.6147592068,-1.233235002,1,0.03084922209,-0.07178839296,0.1379993707,2.93542099,2,0.02106785029,0.5874325037,3.400620699,-3.031393766,3,4,5,2,,,0.4298752248,0.6173727512,-1.397873402,5.470183372,2,2,1,4,5,,0.0007733001257,0.2501049936,0.3995610476,-0.01599262096,-0.2448575795,-2.646594286,3.333152533,3,1,3,5,,,-0.02021859586,-0.01777549647,-0.2721755803,0.1681500524,1.458957911,0.7859096527,0.9837578535,-2.965258121,3.648804188,3,3,1,5,,,0.2209177166,-1.859476447,3.782505274,2,2,1,4,5,
742,3,3.25,3.5,3.6,4.1,22824.03965,2,72,3,1.603567481,-0.7981285453,-0.7931804657,1.166516423,-0.1021042541,0.07751300186,-0.3111467659,0.6178581119,1,0.04971764609,-0.07178839296,0.1379993707,3.475055218,3,-0.01583435759,-0.4415076077,3.400620699,-3.031393766,3,4,5,2,,,-0.2703479826,-0.3882649541,-1.397873402,5.470183372,1,3,2,1,4,5,-0.05316753685,-0.2392389327,-0.3559356034,-0.01604691893,-0.2456889153,-2.646594286,3.333152533,3,1,3,5,,,-0.01390803512,-0.0156832356,-0.2401391417,-0.1208536103,-1.04858923,-0.6319773793,-0.7910740376,-2.965258121,3.648804188,2,4,3,1,5,,0.8324160576,-1.859476447,3.782505274,3,1,4,5,,
743,2.4,3.816666667,2.4,3.9,3.3,38900.54754,2,128,4,0.7071067691,-1.656551123,0.7249293327,-0.4417515099,0.433943063,-1.500933528,0.5965354443,-0.709672749,1,0.06310725212,-0.07178839296,0.1379993707,3.857996225,3,0.02223871835,0.6200796962,3.400620699,-3.031393766,3,4,5,2,,,0.2768068612,0.3975409865,-1.397873402,5.470183372,2,2,1,4,5,,-0.1395748705,0.1097568199,0.182877928,-0.1076860502,-1.648744464,-2.646594286,3.333152533,1,4,2,1,3,5,-0.1117867529,-0.109343648,-1.674255848,0.002173906658,0.01886195131,-0.1632717252,-0.2043744326,-2.965258121,3.648804188,3,3,1,5,,,0.1807429343,-1.859476447,3.782505274,2,2,1,4,5,
744,3.5,3.533333333,1.2,3.7,3.7,42621.74736,2,200,5,1.125991583,-0.08277645707,-0.03412557766,-2.196225643,0.07657819241,-0.7117102742,0.8066350222,-0.08936390281,1,-0.01197712775,-0.07178839296,0.1379993707,1.710593581,1,-0.008047125302,-0.2243770808,3.400620699,-3.031393766,3,4,5,2,,,0.5569238067,0.7998358011,-1.397873402,5.470183372,2,2,1,4,5,,-0.006107434165,1.12452054,1.749568701,0.04072169587,0.6234760284,-2.646594286,3.333152533,3,1,3,5,,,0.03517672792,0.04632722959,0.7093575001,0.09754665941,0.846365869,0.6124334335,0.7666099668,-2.965258121,3.648804188,3,3,1,5,,,0.1897243112,-1.859476447,3.782505274,2,2,1,4,5,
745,1.7,3.783333333,3.1,2.6,4.4,36906.07987,1,128,4,0.5345224738,-2.6580441,0.6356287599,0.5816916823,-1.888928652,0.6694304347,0.4839274883,-0.9652455449,0,0.04620873928,-0.07178839296,0.1379993707,3.374701023,3,0.05312278122,1.48121655,3.400620699,-3.031393766,4,5,2,,,,0.1203262657,0.1728086621,-1.397873402,5.470183372,2,2,1,4,5,,-0.2174551189,0.03187657893,0.06263884902,-0.01786634699,-0.2735455632,-2.646594286,3.333152533,2,2,1,3,5,,-0.02119295858,-0.01874985918,-0.2870948911,-0.1260079443,-1.093310952,-1.061294556,-1.328469276,-2.965258121,3.648804188,2,4,3,1,5,,0.1295966059,-1.859476447,3.782505274,2,2,1,4,5,
746,3.9,3.183333333,2.4,3.7,3.8,30212.52923,2,128,4,2.121320248,0.4895052314,-0.971781671,-0.4417515099,0.07657819241,-0.5144044757,0.1060085371,1.384576321,1,-0.002993907779,-0.07178839296,0.1379993707,1.967512369,1,-0.04050460085,-1.129385233,3.400620699,-3.031393766,2,1,4,5,2,,0.1245742813,0.1789095253,-1.397873402,5.470183372,2,2,1,4,5,,0.05058032647,0.2999120355,0.4764580131,0.0472034514,0.7227159739,-2.646594286,3.333152533,3,1,3,5,,,0.04647472501,0.04891782627,0.7490243912,-0.02538292482,-0.2202355415,0.1809674203,0.2265249193,-2.965258121,3.648804188,3,3,1,5,,,0.536056459,-1.859476447,3.782505274,3,1,4,5,,
747,3.7,3.9,3,3.1,4.4,9586.221617,2,12,1,0.7440237999,0.2033643872,0.9481807947,0.4354855418,-0.995516479,0.6694304347,-1.05855608,-0.6550039053,1,0.04299782589,-0.07178839296,0.1379993707,3.282869339,3,0.03466508165,0.9665625691,3.400620699,-3.031393766,4,5,2,,,,-0.7345197797,-1.054893374,-1.397873402,5.470183372,1,3,2,1,4,5,0.004352356307,-0.7238695025,-1.104155302,0.003650700673,0.05589464307,-2.646594286,3.333152533,3,1,3,5,,,0.01092742383,0.004096723627,0.06272917241,-0.0008342172368,-0.007238106336,-0.1691795588,-0.2117695361,-2.965258121,3.648804188,3,3,1,5,,,-0.2818015814,-1.859476447,3.782505274,2,2,1,4,5,
748,3.2,2.933333333,3.7,3.4,4.6,22299.81797,2,72,3,0.7559289336,-0.5119876862,-1.641535997,1.458928704,-0.4594691396,1.064042091,-0.340744406,-0.6373741031,1,0.03278914467,-0.07178839296,0.1379993707,2.990902662,2,-0.03406245634,-0.9497596025,3.400620699,-3.031393766,2,1,4,5,2,,-0.2579858601,-0.3705108762,-1.397873402,5.470183372,1,3,2,1,4,5,-0.0201462768,-0.2062176764,-0.3049541712,0.05347601697,0.8187531233,-2.646594286,3.333152533,3,1,3,5,,,0.0558183603,0.05404316261,0.8275029063,-0.1607005894,-1.394322395,-1.205085278,-1.508458495,-2.965258121,3.648804188,2,4,3,1,5,,-0.2399266511,-1.859476447,3.782505274,2,2,1,4,5,
750,3.4,3.616666667,3.4,3,3.4,28555.98328,2,128,4,0.3535533845,-0.2258468717,0.1891258657,1.020310163,-1.174198866,-1.303627729,0.0124796899,-1.233235002,1,0.04590793326,-0.07178839296,0.1379993707,3.366098166,3,-0.006228583399,-0.1736708879,3.400620699,-3.031393766,3,4,5,2,,,-0.01143097971,-0.01641679928,-1.397873402,5.470183372,2,2,1,4,5,,-0.02014180273,0.2291899025,0.3672703207,-0.02558457106,-0.3917166591,-2.646594286,3.333152533,2,2,1,3,5,,-0.02567035891,-0.02322725952,-0.3556523025,-0.1449396461,-1.257572293,-1.25148797,-1.566542745,-2.965258121,3.648804188,2,4,3,1,5,,0.7777011991,-1.859476447,3.782505274,3,1,4,5,,
751,3.6,3.616666667,3.3,3.8,3.7,50796.79371,2,200,5,0,0.06029396132,0.1891258657,0.874104023,0.2552606463,-0.7117102742,1.268199444,-1.756797314,1,0.05156456679,-0.07178839296,0.1379993707,3.527877092,3,-0.002549315337,-0.07108227164,3.400620699,-3.031393766,3,4,5,2,,,0.8876273632,1.274781466,-1.397873402,5.470183372,2,2,1,4,5,,0.002424139064,1.133052111,1.762740493,-0.04573636875,-0.7002539635,-2.646594286,3.333152533,2,2,1,3,5,,-0.05445422232,-0.04330372438,-0.6630606651,-0.04505059868,-0.3908825815,-0.7323612571,-0.9167289734,-2.965258121,3.648804188,2,4,3,1,5,,0.7199330926,-1.859476447,3.782505274,3,1,4,5,,
753,3,3.683333333,2.4,3.7,3.3,16076.97212,2,32,2,0.9161253572,-0.7981285453,0.3677270114,-0.4417515099,0.07657819241,-1.500933528,-0.6920872927,-0.4001459479,1,0.04044464231,-0.07178839296,0.1379993707,3.209848642,3,0.002755381865,0.07682800293,3.400620699,-3.031393766,3,4,5,2,,,-0.5505517125,-0.790684402,-1.397873402,5.470183372,1,3,2,1,4,5,-0.06747480482,-0.492159009,-0.7464181781,-0.06695202738,-1.025079727,-2.646594286,3.333152533,2,2,1,3,5,,-0.06219448149,-0.06641238183,-1.016897559,-0.01491525304,-0.1294125468,-0.1970959008,-0.2467136532,-2.965258121,3.648804188,3,3,1,5,,,-0.6207168102,-1.859476447,3.782505274,2,2,1,4,5,
754,1.6,4.466666667,4,2.7,4.9,10818.492,2,12,1,2.2320714,-2.801114321,2.466290712,1.897547245,-1.710246205,1.655959487,-0.9889819026,1.548583031,1,0.1379993707,-0.07178839296,0.1379993707,5.999899864,5,0.1219608486,3.400620699,3.400620699,-3.031393766,5,2,,,,,-0.9416089058,-1.352308035,-1.397873402,5.470183372,1,3,2,1,4,5,-0.2512995303,-0.9677956104,-1.48075211,-0.1193837076,-1.827843308,-2.646594286,3.333152533,1,4,2,1,3,5,-0.1125852466,-0.1194159538,-1.828481793,-0.072105214,-0.6256225705,-0.08207117021,-0.1027321145,-2.965258121,3.648804188,3,3,1,5,,,-1.645445347,-1.859476447,3.782505274,1,3,2,1,4,5
755,3.1,3.183333333,2.3,3.9,4.4,54824.07453,2,200,5,1.388730168,-0.6550581455,-0.971781671,-0.5879576802,0.433943063,0.6694304347,1.495580316,0.2997145951,1,0.01482449844,-0.07178839296,0.1379993707,2.477116346,2,-0.01627210714,-0.4537133276,3.400620699,-3.031393766,3,4,5,2,,,1.004231572,1.442244649,-1.397873402,5.470183372,3,1,4,5,,,-0.03968344629,1.090944529,1.69773078,0.04534412548,0.6942484975,-2.646594286,3.333152533,3,1,3,5,,,0.0350632146,0.04621371254,0.7076193094,0.0108106751,0.09379907697,0.1452779621,0.1818508357,-2.965258121,3.648804188,3,3,1,5,,,0.6839418411,-1.859476447,3.782505274,3,1,4,5,,
